COMPRAS PM (EDITABLE)							
							
Fecha	OC	Codigo	Descripcion	Proveedor	Costo PM CLP	Regla	Estado OC
20-02-2026	DEMO-02-7682	CD-89	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-90	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-91	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7682	CD-94	SC-02-FILTROS CAMIONES MAN (STOCK T	AUTOMOTORA ALAMEDA SPA	 $13.095,53 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7686	VD-29	SC-02-6095 KIR FILTROS VD-29	KAUFMANN S A VEHICULOS MOTORIZADOS	 $61.356,40 	Directo Equipo	OC Aprobada
20-02-2026	DEMO-02-7688		FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-103	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-104	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-105	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688		FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-107	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-120	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-121	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-122	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-123	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-124	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-87	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-88	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-89	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-90	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-91	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7688	CD-94	FILTROS BOTELLA MAN	FORTI SPA	 $7.700,00 	Prorrateo MAN	OC Aprobada
20-02-2026	DEMO-02-7690	VD-125	MANTENCION VD-125	KAUFMANN S A VEHICULOS MOTORIZADOS	 $426.593,58 	Directo Equipo	OC Aprobada
23-02-2026	DEMO-02-7692	CD-110	SC-02-6096 KIT FILTROS CD-110	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $21.301,00 	Directo Equipo	OC Aprobada
23-02-2026	DEMO-02-7696	CD-98	SC-02-6097 KIT FILTROS CD-98	AUTOMOTORA ALAMEDA SPA	 $271.270,02 	Directo Equipo	OC Aprobada
23-02-2026	DEMO-02-7699	CD-69	SC-02 FILTRO AIRE PRIM Y SEC. CD-69	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $76.299,83 	Directo Equipo	OC Aprobada
23-02-2026	DEMO-02-7706	CD-86	SC-02-KIT FILTROS CD-86	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $288.199,96 	Directo Equipo	OC Aprobada
23-02-2026	DEMO-02-7707	VD-108	SC-02-6119 REG. MANTENCION VD-108 O	ROSSELOT Y FIGUEROA LIMITADA	 $387.603,23 	Directo Equipo	OC Aprobada
23-02-2026	DEMO-02-7715	MD-96	SC-02-6103 KIT DE FILTROS MD-96	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $258.526,31 	Directo Equipo	OC Cancelada
